,Price,Area,Deposit Fee,Furniture,Ward,District
0,1600000,20,500000,, Hòa Thọ Đông, Cẩm Lệ
1,1100000,40,50000,Nội thất đầy đủ, Thuận Phước, Hải Châu
2,1500000,20,500000,Nhà trống, Hòa Phát, Cẩm Lệ
3,2500000,25,2500000,Nội thất đầy đủ, Hòa Minh, Liên Chiểu
4,1200000,30,1000000,Nội thất đầy đủ, Thuận Phước, Hải Châu
5,3000000,25,3000000,, Phước Mỹ, Sơn Trà
6,2800000,25,2800000,Nội thất đầy đủ, Phước Ninh, Hải Châu
7,1500000,20,300000,, Thọ Quang, Sơn Trà
8,2600000,30,2600000,, Khuê Mỹ, Ngũ Hành Sơn
9,1650000,20,1000000,, Mân Thái, Sơn Trà
10,1300000,20,1300000,, Hòa Minh, Liên Chiểu
11,1100000,18,1100000,Nhà trống, Hòa Cường Nam, Hải Châu
12,2600000,30,500000,, An Hải Bắc, Sơn Trà
13,3500000,30,3500000,, An Hải Đông, Sơn Trà
14,2200000,24,,, Hòa Khánh Nam, Liên Chiểu
15,1700000,15,1000000,Nội thất đầy đủ, Hòa Minh, Liên Chiểu
16,1500000,20,,Nhà trống, Hòa Cường Nam, Hải Châu
17,1650000,20,,, Hoà Hải, Ngũ Hành Sơn
18,1300000,20,500000,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
19,2000000,27,,, Khuê Trung, Cẩm Lệ
20,2200000,23,2200000,Nội thất đầy đủ, Hòa Phát, Cẩm Lệ
21,5000000,40,,Nội thất đầy đủ, Hải Châu I, Hải Châu
22,2000000,20,2000000,Nội thất đầy đủ, Hòa Thuận Tây, Hải Châu
23,2000000,40,500000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
24,1000000,18,,Nhà trống, Thanh Khê Tây, Thanh Khê
25,700000,25,,, Hòa Khánh Bắc, Liên Chiểu
26,1700000,18,1700000,Nhà trống, An Khê, Thanh Khê
27,3900000,40,,Nội thất cao cấp, Khuê Mỹ, Ngũ Hành Sơn
28,1200000,15,1,, Thanh Bình, Hải Châu
29,1700000,25,1000000,Nhà trống, Mỹ An, Ngũ Hành Sơn
30,900000,15,,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
31,2000000,30,,Nhà trống, Hòa An, Cẩm Lệ
32,2500000,20,,, Thanh Bình, Hải Châu
33,1500000,20,500000,Nội thất đầy đủ, An Khê, Thanh Khê
34,2200000,30,,, An Hải Tây, Sơn Trà
35,1400000,17,1000000,, Hòa Minh, Liên Chiểu
36,2000000,25,,Nội thất đầy đủ, Hoà Hải, Ngũ Hành Sơn
37,2200000,70,500000,, An Hải Đông, Sơn Trà
38,2000000,25,1500000,Nhà trống, Hòa Phước, Hòa Vang
39,1600000,30,,Nội thất cao cấp, An Khê, Thanh Khê
40,1500000,20,500000,Nhà trống, Hòa Thuận Tây, Hải Châu
41,2000000,25,1000000,Nhà trống, Thanh Khê Tây, Thanh Khê
42,1000000,25,500000,Nhà trống, Hòa Xuân, Cẩm Lệ
43,1500000,25,1500000,, Nại Hiên Đông, Sơn Trà
44,2000000,25,1000000,, Mân Thái, Sơn Trà
45,2000000,15,,, Hòa Thuận Tây, Hải Châu
46,2500000,30,2500000,Nhà trống, Vĩnh Trung, Thanh Khê
47,1000000,360,500000,Nội thất cao cấp, Hòa Cường Nam, Hải Châu
48,2500000,35,2000000,, Chính Gián, Thanh Khê
49,1400000,18,500000,, Hòa Thọ Đông, Cẩm Lệ
50,900000,25,,, Hòa Phong, Hòa Vang
51,1600000,20,1600000,, Hoà Quý, Ngũ Hành Sơn
52,1200000,20,500000,Nội thất đầy đủ, Hòa Cường Nam, Hải Châu
53,1000000,4,500000,, An Hải Bắc, Sơn Trà
54,900000,5,500000,, Hòa Cường Bắc, Hải Châu
55,1500000,18,500000,Nhà trống, Hòa Cường Bắc, Hải Châu
56,1200000,20,1000000,, Hòa Minh, Liên Chiểu
57,1400000,20,300000,, Hòa Khánh Bắc, Liên Chiểu
58,800000,20,,Nội thất đầy đủ, Hòa Nhơn, Hòa Vang
59,1600000,20,1600000,Nội thất đầy đủ, Hòa Phát, Cẩm Lệ
60,1500000,100,500000,Nhà trống, Hòa Xuân, Cẩm Lệ
61,3000000,50,100000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
62,3700000,40,,Nội thất đầy đủ, Khuê Mỹ, Ngũ Hành Sơn
63,3000000,20,3000000,Nội thất đầy đủ, Phước Mỹ, Sơn Trà
64,1800000,25,1000,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
65,2000000,20,2000000,Nội thất đầy đủ, An Khê, Thanh Khê
66,1000000,20,,Nội thất đầy đủ, Khuê Trung, Cẩm Lệ
67,1100000,12,500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
68,3000000,30,2000000,Nội thất đầy đủ, An Hải Tây, Sơn Trà
69,2000000,18,500000,Nội thất đầy đủ, Thạc Gián, Thanh Khê
70,1600000,21,500000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
71,1500000,15,100000,Nhà trống, Hòa Khê, Thanh Khê
72,1800000,24,,, Xuân Hà, Thanh Khê
73,1500000,24,,, Hòa An, Cẩm Lệ
74,1600000,15,1600000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
75,3500000,35,3500000,Nội thất đầy đủ, Mỹ An, Ngũ Hành Sơn
76,1400000,27,,, Hòa Khánh Nam, Liên Chiểu
77,1600000,25,500000,Nhà trống, Hòa An, Cẩm Lệ
78,2500000,34,,, Hòa Khánh Bắc, Liên Chiểu
79,2500000,30,500000,Nhà trống, An Hải Bắc, Sơn Trà
80,3500000,30,3500000,Nội thất đầy đủ, Hòa Thuận Đông, Hải Châu
81,4000000,40,,Nội thất đầy đủ, Mỹ An, Ngũ Hành Sơn
82,3000000,20,3000000,, Thuận Phước, Hải Châu
83,2700000,25,1000000,Nhà trống, Hòa Cường Nam, Hải Châu
84,5000000,25,,Nội thất đầy đủ, Phước Ninh, Hải Châu
85,1400000,20,500000,, Hòa Minh, Liên Chiểu
86,3200000,40,3200000,Nội thất cao cấp, Hòa Khánh Nam, Liên Chiểu
87,1500000,45,1000000,Nhà trống, Thọ Quang, Sơn Trà
88,2000000,20,,, Khuê Mỹ, Ngũ Hành Sơn
89,2000000,30,1000000,, Hòa Khánh Nam, Liên Chiểu
90,1800000,22,2000000,, Hoà Hải, Ngũ Hành Sơn
91,3200000,70,,, Hòa Thọ Đông, Cẩm Lệ
92,1400000,25,1400000,, Hòa Minh, Liên Chiểu
93,1300000,20,1300000,, An Hải Bắc, Sơn Trà
94,900000,12,200000,, Hòa Minh, Liên Chiểu
95,1500000,18,,Nội thất đầy đủ, An Hải Đông, Sơn Trà
96,1600000,22,,, Thanh Bình, Hải Châu
97,1650000,25,1000000,Nhà trống, Mân Thái, Sơn Trà
98,1500000,18,500000,Nhà trống, Thọ Quang, Sơn Trà
99,1600000,22,,Nhà trống, Hòa Xuân, Cẩm Lệ
100,1800000,25,1000000,Nhà trống, Khuê Trung, Cẩm Lệ
101,1300000,12,500000,, An Khê, Thanh Khê
102,1300000,25,1300000,Nhà trống, Thanh Khê Tây, Thanh Khê
103,3000000,45,3000000,Nội thất đầy đủ, Thọ Quang, Sơn Trà
104,1500000,20,,, Hòa Thọ Tây, Cẩm Lệ
105,1500000,22,,, Thọ Quang, Sơn Trà
106,1800000,20,,, Thanh Bình, Hải Châu
107,2000000,30,1000000,, Khuê Mỹ, Ngũ Hành Sơn
108,1800000,35,500000,, Hòa Xuân, Cẩm Lệ
109,2300000,20,,, Khuê Trung, Cẩm Lệ
110,2000000,30,,, An Khê, Thanh Khê
111,700000,20,,Nhà trống, Hòa Khánh Nam, Liên Chiểu
112,1200000,25,1200000,Nhà trống, Xuân Hà, Thanh Khê
113,1800000,24,,, Hoà Hải, Ngũ Hành Sơn
114,3000000,35,3000000,Nội thất đầy đủ, Bình Hiên, Hải Châu
115,3500000,30,,, Hoà Hải, Ngũ Hành Sơn
116,900000,16,200000,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
117,2000000,14,1000000,, Hòa Thuận Tây, Hải Châu
118,7000000,120,123456789,, Hòa Minh, Liên Chiểu
119,1100000,13,,Nội thất đầy đủ, An Khê, Thanh Khê
120,1500000,15,,Nhà trống, Hòa An, Cẩm Lệ
121,150000,18,500,Nhà trống, Hòa An, Cẩm Lệ
122,2800000,25,1000000,Nội thất đầy đủ, An Khê, Thanh Khê
123,1200000,20,,Nhà trống, Hòa Phước, Hòa Vang
124,1500000,20,500000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
125,2500000,20,2500000,Nội thất đầy đủ, Hòa Phát, Cẩm Lệ
126,2500000,18,2500000,Nội thất đầy đủ, Mỹ An, Ngũ Hành Sơn
127,3000000,20,3000000,Nội thất đầy đủ, Hòa Minh, Liên Chiểu
128,1000000,20,,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
129,1500000,15,1500000,, Hòa Hiệp Bắc, Liên Chiểu
130,2100000,30,500000,Nhà trống, Hòa Cường Bắc, Hải Châu
131,12000000,125,,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
132,2000000,20,500000,, Hòa Khê, Thanh Khê
133,1000000,16,1000000,Nội thất đầy đủ, Hòa Thọ Tây, Cẩm Lệ
134,2000000,22,500000,, Khuê Trung, Cẩm Lệ
135,2500000,20,1000000,Nhà trống, Hòa Minh, Liên Chiểu
136,1500000,15,500000,, Hòa Khánh Nam, Liên Chiểu
137,1500000,20,500000,Nhà trống, Hòa Khê, Thanh Khê
138,200000,18,2000000,Nhà trống, Hòa Thuận Tây, Hải Châu
139,2000000,30,100000,Nhà trống, Tam Thuận, Thanh Khê
140,2000000,25,2000000,Nhà trống, Thanh Khê Tây, Thanh Khê
141,1800000,18,,, An Hải Đông, Sơn Trà
142,1500000,15,200000,Nhà trống, Hòa Minh, Liên Chiểu
143,800000,16,800000,, Thạc Gián, Thanh Khê
144,1700000,22,500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
145,800000,15,100000,, Hòa Thọ Tây, Cẩm Lệ
146,1700000,15,500000,, Hòa Xuân, Cẩm Lệ
147,1300000,25,1300000,Nhà trống, Thanh Khê Tây, Thanh Khê
148,1200000,12,,, Thanh Khê Tây, Thanh Khê
149,1000000,17,300000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
150,1500000,10,,, An Khê, Thanh Khê
151,2500000,35,1000000,Nhà trống, Hoà Quý, Ngũ Hành Sơn
152,1800000,20,1000000,Nhà trống, Hòa Minh, Liên Chiểu
153,1300000,24,500000,Nhà trống, Hòa Khê, Thanh Khê
154,1200000,18,,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
155,1300000,27,500000,Nhà trống, Hòa Thọ Tây, Cẩm Lệ
156,2300000,20,,, Hòa Thuận Đông, Hải Châu
157,1500000,15,500,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
158,1500000,15,300000,Nhà trống, Hòa Cường Bắc, Hải Châu
159,1000000,25,200000,Nhà trống, Hòa Thuận Đông, Hải Châu
160,100000,20,,, Thuận Phước, Hải Châu
161,2300000,25,1000000,Nhà trống, Hòa Xuân, Cẩm Lệ
162,2000000,15,2000000,, Hoà Hải, Ngũ Hành Sơn
