,Price,Area,Ward,District
0,1300000,20,,
1,3000000,25,,
2,1500000,15,,
3,2600000,30,,
4,3200000,40,,
5,1700000,25,,
6,2200000,30,,
7,1500000,18,,
8,1500000,20,,
9,2000000,25,,
10,1700000,18,,
11,2000000,12,,
12,1800000,23,,
13,3000000,50,,
14,2500000,50,,
15,1800000,25,,
16,1800000,25,,
17,2500000,40,,
18,1800000,35,,
19,2500000,30,,
20,1500000,18,,
21,1700000,20,,
22,1400000,16,,
23,1800000,20,,
24,1000000,70,,
25,1200000,15,,
26,1000000,20,,
27,2700000,20,,
28,3000000,250,,
29,2500000,15,,
30,1200000,18,,
31,4500000,35,,
32,2700000,24,,
33,1500000,16,,
34,2000000,30,,
35,700000,20,,
36,900000,18,,
37,5000000,42,,
38,1400000,16,,
39,3000000,30,,
40,1600000,15,,
41,2500000,25,,
42,1000000,16,,
43,1100000,20,,
44,2200000,30,,
45,800000,15,,
46,2000000,20,,
47,3000000,30,,
48,1500000,18,,
49,1500000,30,,
50,1200000,16,,
51,2000000,40,,
52,1500000,22,,
53,900000,30,,
54,,30,,
55,2000000,30,,
56,2000000,60,,
57,1000000,18,,
58,2000000,40,,
59,1000000,20,,
60,3000000,30,,
61,1000000,15,,
62,1500000,14,,
63,1200000,15,,
64,2200000,19,,
65,1400000,20,,
66,2500000,25,,
67,1600000,24,,
68,1000000,16,,
69,1700000,22,,
70,2000000,12,,
71,1200000,30,,
72,3500000,30,,
73,1800000,350,,
74,1300000,15,,
75,2000000,15,,
76,1800000,18,,
77,1300000,30,,
78,1600000,15,,
79,1700000,16,,
80,2000000,20,,
81,1800000,36,,
82,1700000,25,,
83,2200000,15,,
84,1200000,30,,
85,2000000,50,,
86,1600000,15,,
87,1500000,20,,
88,1500000,15,,
89,1200000,12,,
90,2000000,20,,
91,2500000,35,,
92,1200000,24,,
93,1450000,25,,
94,1500000,20,,
95,1500000,20,,
96,1500000,25,,
97,1900000,20,,
98,2300000,20,,
99,2000000,16,,
100,1000000,15,,
101,1800000,15,,
102,1500000,25,,
103,2200000,20,,
104,2000000,25,,
105,1500000,20,,
106,1000000,13,,
107,3000000,30,,
108,1500000,20,,
109,1500000,16,,
110,2000000,25,,
111,2500000,25,,
112,2000000,20,,
113,1000000,25,,
114,2500000,30,,
115,3000000,30,,
116,1800000,35,,
117,1200000,25,,
118,2000000,18,,
119,1800000,35,,
120,1900000,35,,
121,2000000,40,,
122,1500000,20,,
123,1200000,15,,
124,4500000,45,,
125,4500000,45,,
126,,0,,
127,1700000,15,,
128,1200000,20,,
129,3500000,25,,
130,2000000,40,,
131,1600000,20,,
132,2000000,20,,
133,2400000,24,,
134,3100000,30,,
135,2700000,25,,
136,2000000,120,,
137,2500000,22,,
138,1500000,12,,
139,1800000,20,,
140,3500000,125,,
141,1500000,20,,
142,2500000,18,,
143,2200000,20,,
144,4500000,30,,
145,600000,12,,
146,2400000,24,,
147,2000000,25,,
148,2500000,20,,
149,1500000,25,,
150,2500000,32,,
151,2300000,23,,
152,1500000,20,,
153,990000,30,,
154,3000000,35,,
155,2000000,20,,
156,2500000,25,,
157,2500000,25,,
158,1300000,20,,
159,3700000,45,,
160,1700000,18,,
161,3700000,45,,
162,2000000,30,,
163,1500000,20,,
164,2500000,30,,
165,1500000,30,,
166,2500000,30,,
167,1500000,15,,
168,2000000,25,,
169,2000000,25,,
170,1500000,20,,
171,3000000,50,,
172,1100000,22,,
173,3000000,30,,
174,2200000,25,,
175,2200000,35,,
176,1000000,16,,
177,2000000,25,,
178,1500000,15,,
179,1000000,22,,
180,1900000,15,,
181,1200000,20,,
182,1700000,20,,
183,3000000,30,,
184,3800000,30,,
185,2500000,20,,
186,1600000,20,,
187,1800000,23,,
188,1800000,16,,
189,2000000,20,,
190,3800000,70,,
191,1100000,25,,
192,1200000,13,,
193,1200000,18,,
194,1000000,25,,
195,2500000,25,,
196,2000000,30,,
197,2500000,25,,
198,2000000,30,,
199,2000000,18,,
200,1400000,16,,
201,1200000,9,,
202,2500000,20,,
203,2400000,15,,
204,2500000,30,,
205,2500000,25,,
206,2200000,25,,
207,,18,,
208,1000000,20,,
209,2500000,30,,
210,2200000,25,,
211,2000000,25,,
212,3500000,25,,
213,3000000,20,,
214,2500000,25,,
215,2500000,25,,
216,2500000,25,,
217,2500000,20,,
218,1000000,16,,
219,2500000,22,,
220,2500000,25,,
221,2500000,20,,
222,2500000,25,,
223,1500000,25,,
224,2500000,25,,
225,3500000,45,,
226,2500000,25,,
227,2500000,25,,
228,2500000,25,,
229,2500000,25,,
230,2200000,30,,
231,2000000,32,,
232,700000,10,,
233,1500000,15,,
234,1000000,12,,
235,2500000,30,,
236,1000000,25,,
237,3500000,30,,
238,1500000,18,,
239,2300000,20,,
240,1000000,12,,
241,1400000,30,,
242,1500000,15,,
243,3000000,30,,
244,2800000,24,,
245,1500000,15,,
246,2500000,25,,
247,1800000,20,,
248,500000,50,,
249,1200000,25,,
250,1200000,25,,
251,1300000,40,,
252,3500000,30,,
253,2000000,20,,
254,1800000,20,,
255,1800000,20,,
256,2000000,27,,
257,1700000,20,,
258,3000000,20,,
259,3000000,25,,
260,1100000,13,,
261,3000000,28,,
262,2300000,25,,
263,1400000,24,,
264,2500000,35,,
265,3000000,30,,
266,1700000,18,,
267,3000000,25,,
268,1300000,8,,
269,1500000,25,,
270,2500000,30,,
271,1700000,25,,
272,3000000,30,,
273,1500000,25,,
274,2000000,20,,
275,1800000,20,,
276,2000000,20,,
277,2300000,25,,
278,3000000,16,,
279,2200000,20,,
280,1200000,16,,
281,1000000,25,,
282,1500000,15,,
283,2500000,25,,
284,1600000,135,,
285,3000000,25,,
286,2800000,35,,
287,2500000,25,,
288,3000000,30,,
289,1200000,14,,
290,7000000,34,,
291,1800000,16,,
292,2500000,40,,
293,1300000,22,,
294,2500000,30,,
295,4000000,35,,
296,2700000,50,,
297,1300000,16,,
298,2000000,20,,
299,1800000,25,,
300,1000000,16,,
301,2000000,25,,
302,800000,20,,
303,2200000,20,,
304,1600000,25,,
305,1500000,12,,
306,3000000,25,,
307,2000000,28,,
308,2500000,26,,
309,4500000,40,,
310,2800000,14,,
311,2800000,30,,
312,1500000,20,,
313,1850000,29,,
314,2500000,18,,
315,2500000,15,,
316,1500000,12,,
317,2200000,20,,
318,2200000,20,,
319,2400000,20,,
320,2500000,20,,
321,2500000,30,,
322,2000000,20,,
323,1600000,18,,
324,1200000,14,,
325,1800000,25,,
326,2500000,20,,
327,2200000,25,,
328,2300000,16,,
329,2200000,15,,
330,3500000,25,,
331,2300000,20,,
332,1700000,20,,
333,4000000,30,,
334,2000000,25,,
335,15000000,20,,
336,1500000,20,,
337,2200000,20,,
338,3500000,30,,
339,2000000,20,,
340,2000000,34,,
341,1700000,40,,
342,2000000,20,,
343,3000000,18,,
344,1800000,12,,
345,2500000,25,,
346,2000000,16,,
347,2000000,16,,
348,1800000,18,,
349,2000000,16,,
350,1300000,15,,
351,2200000,20,,
352,3000000,25,,
353,2100000,29,,
354,1800000,18,,
355,2000000,30,,
356,1500000,20,,
357,1500000,20,,
358,2000000,15,,
359,1600000,20,,
360,2000000,15,,
361,2000000,15,,
362,2000000,15,,
363,2200000,28,,
364,1800000,20,,
365,2500000,20,,
366,2000000,14,,
367,2400000,20,,
368,2000000,22,,
369,2000000,35,,
370,1800000,20,,
371,2500000,25,,
372,1500000,25,,
373,2800000,25,,
374,2000000,20,,
375,2800000,25,,
376,1200000,16,,
377,1800000,20,,
378,2500000,30,,
379,1500000,25,,
380,3000000,25,,
381,2000000,25,,
382,750000,75,,
383,1000000,20,,
384,1200000,20,,
385,1600000,25,,
386,3000000,35,,
387,2000000,20,,
388,1600000,25,,
389,1500000,25,,
390,3000000,20,,
391,2500000,20,,
392,5000000,50,,
393,3000000,30,,
394,3000000,20,,
395,2000000,20,,
396,2300000,20,,
397,3000000,28,,
398,1500000,15,,
399,2500000,12,,
400,2200000,18,,
401,800000,18,,
402,1700000,25,,
403,3700000,55,,
404,1200000,16,,
405,1200000,16,,
406,2000000,25,,
407,2000000,15,,
408,2200000,30,,
409,3000000,53,,
410,1800000,25,,
411,2500000,28,,
412,1800000,26,,
413,4000000,35,,
414,1800000,15,,
415,1500000,20,,
416,2300000,20,,
417,1700000,15,,
418,900000,16,,
419,1100000,16,,
420,6000000,20,,
421,3500000,30,,
422,2100000,15,,
423,1500000,50,,
424,2000000,25,,
425,2500000,20,,
426,1700000,20,,
427,1800000,18,,
428,1500000,17,,
429,2500000,20,,
430,1500000,11,,
431,2500000,20,,
432,1600000,18,,
433,2000000,19,,
434,3100000,20,,
435,2000000,24,,
436,2300000,25,,
437,2200000,29,,
438,1500000,16,,
439,1200000,12,,
440,1500000,30,,
441,1500000,15,,
442,3500000,25,,
443,1500000,20,,
444,2000000,25,,
445,2500000,20,,
446,2000000,25,,
447,2300000,32,,
448,2000000,25,,
449,2700000,30,,
450,2000000,20,,
451,1500000,15,,
452,1800000,18,,
453,2500000,25,,
454,2500000,35,,
455,1500000,19,,
456,2500000,10,,
457,2500000,15,,
458,1500000,12,,
459,1100000,40,,
460,2300000,23,,
461,2000000,40,,
462,2500000,35,,
463,1200000,20,,
464,1700000,13,,
465,2300000,30,,
466,2000000,20,,
