,Location,Price,Name,area,Feature2,Feature3,Feature4,Feature5,Feature6,Feature10
0,"Địa chỉ: 408/4 Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",1.3 triệu,"Cho thuê phòng trọ đường Tôn Đức Thắng, Liên Chiểu, Đà Nẵng",20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin VIP 3,"Ngày đăng: Chủ Nhật, 14:10 12/06/2022","Ngày hết hạn: Thứ 6, 14:10 17/06/2022",
1,"Địa chỉ: Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",3 triệu,"Nhà biệt thự còn dư nhiều phòng cho thuê lâu dài gần Goldern bay, Khúc Hạo, Ngô Quyền, Chu Huy Mân.",25m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 08:31 14/06/2022","Ngày hết hạn: Thứ 6, 08:31 24/06/2022",
2,"Địa chỉ: k123/97/58 Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",1.5 triệu,"Cho thuê phòng trọ (riêng chủ) gần chợ, gần trường học tại Thanh Khê",15m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 11:25 09/06/2022","Ngày hết hạn: Chủ Nhật, 11:25 19/06/2022",
3,"Địa chỉ: Đường Vương Thừa Vũ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2.6 triệu,"Cho thuê tại Ngã tư đường Vương Thừa Vũ + Trần Duy Chiến, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 5, 09:16 09/06/2022","Ngày hết hạn: Chủ Nhật, 09:16 19/06/2022",
4,"Địa chỉ: 493 Tôn Đức Thắng, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",3.2 triệu,"Cho thuê phòng trọ full nội thất đẹp. Giá: từ 3,2Tr đến 3,3Tr tuỳ phòng",40m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 4, 14:35 08/06/2022","Ngày hết hạn: Thứ 7, 14:35 18/06/2022",
5,"Địa chỉ: 249/62 (sau bãi xe) Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",1.7 triệu,"Cho thuê phòng trọ giá rẻ, gần trường học. Rộng 25m2 giá thuê 1,7 Triệu/Tháng",25m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 3, 19:53 07/06/2022","Ngày hết hạn: Thứ 6, 19:53 17/06/2022",
6,"Địa chỉ: 20/2 Đường Hà Thị Thân, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",2.2 triệu,"Phòng trọ 30m2 có gác lửng và ban công, bếp, toilet riêng",30m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 2, 12:04 06/06/2022","Ngày hết hạn: Thứ 5, 12:04 16/06/2022",
7,"Địa chỉ: Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",1.5 triệu,"Cho thuê phòng trọ phường Mỹ An, quận Ngũ Hành Sơn Đà Nẵng",18m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 7, 16:44 28/05/2022","Ngày hết hạn: Thứ 6, 16:44 17/06/2022",
8,"Địa chỉ: K35/3 Đường Nam Thành, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",1.5 triệu,Cho thuê phòng trọ giá rẻ khu vực ngay chợ Non Nước,20m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 7, 14:36 21/05/2022","Ngày hết hạn: Thứ 3, 17:26 21/06/2022",
9,"Địa chỉ: Đường Lê Văn Tâm, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",2 triệu,"Cho thuê nhà trọ giá bình dân, khu vực an ninh và tiện ích",25m2,"Loại tin rao: Phòng trọ, nhà trọ",Đối tượng thuê: Tất cả,Gói tin: Tin thường,"Ngày đăng: Thứ 2, 16:51 30/03/2020","Ngày hết hạn: Thứ 6, 11:17 27/03/2020",
