,Location,Price,Name,Date,Feature0,Feature1,Feature3,Feature2
0,"17, Cẩm Băc 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng","1,6 triệu/tháng- 20 m2","Phòng trọ Cẩm Lệ, rộng rãi, sạch đẹp an ninh!",Tin cá nhân đăng 2 tuần trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,
1,"132, Ba Tháng Hai, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng","1,1 triệu/tháng- 40 m2",Trọ homestay-1.1tr-Điều hoà-Bao điện nước,Tin cá nhân đăng 3 tuần trước,Cho thuê,Diện tích: 40 m²,Số tiền cọc: 50.000 đ,Tình trạng nội thất: Nội thất đầy đủ
2,"K1120/58 Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng","1,5 triệu/tháng- 20 m2",Phòng trọ Quận Cẩm Lệ 20m²,Tin cá nhân đăng 4 tháng trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nhà trống
3,"Trần Đăng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","2,5 triệu/tháng- 25 m2","Phòng trọ Cao cấp25m² Kinh Dương Vương,Liên Chiểu",Tin cá nhân đăng 1 giờ trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 2.500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
4,"Cao Xuân Duc, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng","1,2 triệu/tháng- 30 m2",trọ homestay,Tin cá nhân đăng 2 giờ trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
5,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",3 triệu/tháng- 25 m2,Phòng trọ cao cấp gần cầu rồng. gần biển,Tin cá nhân đăng 2 giờ trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 3.000.000 đ,
6,"Hoàng Diệu, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng","2,8 triệu/tháng- 25 m2",Cho thuê phòng ở nhà phố.,Tin cá nhân đăng 2 giờ trước,Cho thuê,Diện tích: 25 m²,Số tiền cọc: 2.800.000 đ,Tình trạng nội thất: Nội thất đầy đủ
7,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng","1,5 triệu/tháng- 20 m2",phòng trọ giá rẻ mặt tiền phan bá phiến,Tin cá nhân đăng 2 giờ trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 300.000 đ,
8,"Tùng Thiện Vương, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng","2,6 triệu/tháng- 30 m2",Phòng trọ cho thuê,Tin cá nhân đăng 2 giờ trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 2.600.000 đ,
9,"Đường Phó Đức Chính, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng","1,65 triệu/tháng- 20 m2",PHÒNG TRỌ GẦN CHỢ GẦN BIỂN,Tin môi giới đăng 2 giờ trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.000.000 đ,
10,"408/4, Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,3 triệu/tháng- 20 m2","Cho thuê phòng trọ đường Tôn Đức Thắng, Đà Nẵng",Tin cá nhân đăng 3 giờ trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 1.300.000 đ,
11,"Hoá Sơn 6, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","1,1 triệu/tháng- 18 m2",cho thuê phò,Tin cá nhân đăng 3 giờ trước,Cho thuê,Diện tích: 18 m²,Số tiền cọc: 1.100.000 đ,Tình trạng nội thất: Nhà trống
12,"Ngã tư Vương Thừa Vũ - Trần Duy Chiến, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng","2,6 triệu/tháng- 30 m2",Ngã tư đường Vương Thừa Vũ + Trần Duy Chiến,Tin cá nhân đăng 4 giờ trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 500.000 đ,
13,"Đường Ngô Quyền, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng","3,5 triệu/tháng- 30 m2",cho thuê phòng trọ,Tin cá nhân đăng 5 giờ trước,Cho thuê,Diện tích: 30 m²,Số tiền cọc: 3.500.000 đ,
14,"K73/15 Đường Mẹ Suốt, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng","2,2 triệu/tháng- 24 m2",Phòng trọ24m² gần ĐH Sư phạm Liên Chiểu Đà Nẵng,Tin môi giới đăng 7 giờ trước,Cho thuê,Diện tích: 24 m²,,
15,"Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","1,7 triệu/tháng- 15 m2",Cho thuê phòng trọ đường kinh dương vương,Tin môi giới đăng 7 giờ trước,Cho thuê,Diện tích: 15 m²,Số tiền cọc: 1.000.000 đ,Tình trạng nội thất: Nội thất đầy đủ
16,"Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng","1,5 triệu/tháng- 20 m2",tìm trọ,Tin cá nhân đăng 8 giờ trước,Cho thuê,Diện tích: 20 m²,,Tình trạng nội thất: Nhà trống
17,"Nam Thành, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng","1,65 triệu/tháng- 20 m2",Phòng trọ 35/15 Nam Thành,Tin cá nhân đăng 9 giờ trước,Cho thuê,Diện tích: 20 m²,,
18,"Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng","1,3 triệu/tháng- 20 m2",Phòng trọ Quận Ngũ Hành Sơn đối diện BV 600 giường,Tin cá nhân đăng 9 giờ trước,Cho thuê,Diện tích: 20 m²,Số tiền cọc: 500.000 đ,Tình trạng nội thất: Nội thất đầy đủ
19,"168 /05, Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",2 triệu/tháng- 27 m2,Phòng trọ mới xây trung tâm thành phố giá rẻ,Tin cá nhân đăng 10 giờ trước,Cho thuê,Diện tích: 27 m²,,
